,x,y
5434,6904.23834527369,1288.4374410156963
4924,5721.485602134831,1604.4767179690916
5437,6847.846145435092,348.8832342378891
4927,5928.421064413215,1575.172308902033
5440,6643.018677516987,354.9711905282238
4930,5428.834910510818,1614.341338972769
5443,7827.700013964845,1339.1124476175444
4933,5568.203196024069,1606.5602852506615
5446,7662.799120329359,1365.0641533482712
4936,7245.368471250301,1823.1437959113132
5449,5911.874171577945,1037.8457778753154
4939,7068.968999326679,1754.286340813813
5452,7502.073994586329,1530.61077929585
5455,7699.810563502913,1490.367006440454
4945,6906.013547543774,1725.7260609963948
4948,6884.049619161836,2489.8106491353005
5461,4572.800873595781,887.4386556306288
4951,5399.225915807055,2021.89337576185
5464,4451.5609778254375,890.0218313268559
4954,4558.118053319915,1141.2445729550093
5467,5809.406730951412,271.09908504913875
4957,7759.062483294926,265.22863923577665
5470,8010.842415990911,923.9686189770528
4960,7745.517631961412,212.83344558509543
5473,6673.336773939425,435.44218231688956
4963,5912.08897455608,385.5197874078933
5476,6398.878503168257,594.4042889707763
4966,7362.747710807327,1447.809241244241
5479,5693.841250074165,1349.5376289619453
4969,7377.39109436642,1371.6587258165828
5482,7413.945715282849,325.5485670736649
4972,7507.645537090793,1318.7696362427143
5485,7270.389566558549,379.5240990482972
4975,7647.959557468158,1287.247274167716
5488,6244.799759551557,2184.5696076183544
4978,7278.237417614965,1544.8384896372993
5491,6394.515493338188,1942.9048774483729
4981,6664.2634233128265,1491.7964442518326
5494,6272.397825199349,2073.0801316872107
4984,6425.158047470378,1242.224497637183
5497,6511.446179949889,1732.239819595569
4987,6623.473302840589,1203.7612685555664
5500,7502.649470518473,1456.0106649933227
4990,6757.625800275229,1141.298184916919
5503,7783.658007986986,1416.1163550081517
4993,6761.492754874924,1046.6500643255772
5506,6294.444902565068,1100.880188915215
4996,6616.643136323492,967.7153914947446
5509,7224.063439375139,731.3416758327065
4999,6431.346829438797,966.1584851010332
5512,5193.892476156099,1392.4068249173404
5002,5175.187136484532,2175.744664486164
5515,5035.115481182083,1429.803046055801
5005,5127.660732531892,2050.71113992812
5518,4907.521068095073,1499.2890211872138
5008,5107.492706348974,1959.813046351279
5521,6146.0103377090345,1131.0701144689845
5011,5134.385636717356,1861.224867348364
5524,5910.853908195218,941.668715582382
5014,5247.800285398928,1773.579103730509
5527,5174.874327426006,1016.2934430023772
5017,5337.220137180577,1697.1135063764375
5530,5778.961969347131,1432.980393375444
5020,5387.133552044233,1942.4437495097595
5533,7749.052714582645,1244.416920716556
5023,5538.860992396817,2029.8925277246235
5536,7773.386656781654,1154.271437162135
5026,5557.414093839068,2090.7219700408564
5539,7607.808960439697,1215.7845498581553
5029,5448.502731670045,2159.299861097338
5032,5273.295657650777,2088.719531566602
5545,4757.937252697229,353.416085208634
5035,6105.258528819,1980.6491847060256
5548,4792.407027562158,435.8886079587549
5038,5971.930273792361,1912.0507260682648
